cc_key,year,cc_perm_resident_count
CHABOT HAYWARD,2019,1281.0
CHABOT HAYWARD,2020,1276.0
CHABOT HAYWARD,2021,1072.0
CHABOT HAYWARD,2022,937.0
CHABOT HAYWARD,2023,817.0
CHABOT HAYWARD,2024,823.0
CHABOT HAYWARD,2025,831.0
CHAFFEY,2005,3.0
CHAFFEY,2006,3.0
CHAFFEY,2007,5.0
CHAFFEY,2008,5.0
CHAFFEY,2009,18762.0
CHAFFEY,2010,19900.0
CHAFFEY,2011,18228.0
CHAFFEY,2012,17822.0
CHAFFEY,2013,16753.0
CHAFFEY,2014,18233.0
CHAFFEY,2015,18457.0
CHAFFEY,2016,19867.0
CHAFFEY,2017,20777.0
CHAFFEY,2018,21195.0
CHAFFEY,2019,1120.0
CHAFFEY,2020,1099.0
CHAFFEY,2021,900.0
CHAFFEY,2022,794.0
CHAFFEY,2023,772.0
CHAFFEY,2024,673.0
CHAFFEY,2025,704.0
CITRUS,2005,109.0
CITRUS,2006,47.0
CITRUS,2007,34.0
CITRUS,2008,644.0
CITRUS,2009,14345.0
CITRUS,2010,13127.0
CITRUS,2011,12796.0
CITRUS,2012,11610.0
CITRUS,2013,10907.0
CITRUS,2014,12041.0
CITRUS,2015,11838.0
CITRUS,2016,12001.0
CITRUS,2017,11802.0
CITRUS,2018,12148.0
CITRUS,2019,53.0
CITRUS,2020,40.0
CITRUS,2021,30.0
CITRUS,2022,31.0
CITRUS,2023,304.0
CITRUS,2024,327.0
CITRUS,2025,284.0
CLOVIS,2007,1.0
CLOVIS,2008,1.0
CLOVIS,2009,2781.0
CLOVIS,2010,2702.0
CLOVIS,2011,2629.0
CLOVIS,2012,2497.0
CLOVIS,2013,2678.0
CLOVIS,2014,3122.0
CLOVIS,2015,2693.0
CLOVIS,2016,2706.0
CLOVIS,2017,3671.0
CLOVIS,2018,3691.0
CLOVIS,2019,1.0
CLOVIS,2023,24.0
CLOVIS,2024,31.0
CLOVIS,2025,31.0
COALINGA,2005,1250.0
COALINGA,2006,1129.0
COALINGA,2007,1261.0
COALINGA,2008,1430.0
COALINGA,2009,105.0
COALINGA,2010,72.0
COALINGA,2011,68.0
COALINGA,2012,53.0
COALINGA,2013,2296.0
COALINGA,2014,2729.0
COALINGA,2015,2372.0
COALINGA,2016,2395.0
COALINGA,2017,3323.0
COALINGA,2018,3347.0
COALINGA,2019,5.0
