cc_name,uc_campus,cc_uc_distance_miles,cc_uc_drive_hours
COLUMBIA,San Diego,469.56,7.71
COLUMBIA,University of California-San Francisco,138.16,2.62
COLUMBIA,Santa Barbara,350.54,6.09
COLUMBIA,Santa Cruz,157.84,3.01
COMPTON,Berkeley,392.19,6.35
COMPTON,Davis,415.04,6.65
COMPTON,Irvine,31.04,0.6
COMPTON,Los Angeles,16.15,0.38
COMPTON,Merced,296.24,4.83
COMPTON,Riverside,63.25,1.31
COMPTON,San Diego,100.75,1.58
COMPTON,University of California-San Francisco,403.12,6.51
COMPTON,Santa Barbara,120.74,2.05
COMPTON,Santa Cruz,362.89,6.05
CONTRA COSTA,Berkeley,12.55,0.49
CONTRA COSTA,Davis,54.86,0.96
CONTRA COSTA,Irvine,428.75,6.76
CONTRA COSTA,Los Angeles,387.8,6.13
CONTRA COSTA,Merced,137.71,2.38
CONTRA COSTA,Riverside,438.44,6.97
CONTRA COSTA,San Diego,520.52,8.15
CONTRA COSTA,University of California-San Francisco,23.16,0.63
CONTRA COSTA,Santa Barbara,336.77,5.41
CONTRA COSTA,Santa Cruz,88.04,1.62
COPPER MOUNTAIN,Berkeley,494.17,8.06
COPPER MOUNTAIN,Davis,527.59,8.35
COPPER MOUNTAIN,Irvine,122.12,2.23
COPPER MOUNTAIN,Los Angeles,129.66,2.12
COPPER MOUNTAIN,Merced,386.47,6.35
COPPER MOUNTAIN,Riverside,77.89,1.47
COPPER MOUNTAIN,San Diego,162.27,2.58
COPPER MOUNTAIN,University of California-San Francisco,505.1,8.23
COPPER MOUNTAIN,Santa Barbara,238.71,3.76
COPPER MOUNTAIN,Santa Cruz,475.44,7.77
COSUMNES RIVER,Berkeley,89.72,1.66
COSUMNES RIVER,Davis,25.47,0.54
COSUMNES RIVER,Irvine,421.64,6.57
COSUMNES RIVER,Los Angeles,380.7,5.95
COSUMNES RIVER,Merced,108.99,1.86
COSUMNES RIVER,Riverside,431.34,6.79
COSUMNES RIVER,San Diego,513.42,7.97
COSUMNES RIVER,University of California-San Francisco,100.33,1.79
COSUMNES RIVER,Santa Barbara,384.17,6.16
COSUMNES RIVER,Santa Cruz,144.86,2.52
CRAFTON HILLS,Berkeley,440.23,7.03
CRAFTON HILLS,Davis,463.07,7.33
CRAFTON HILLS,Irvine,62.14,1.13
CRAFTON HILLS,Los Angeles,65.15,1.06
CRAFTON HILLS,Merced,344.28,5.49
CRAFTON HILLS,Riverside,23.1,0.76
CRAFTON HILLS,San Diego,107.49,1.78
CRAFTON HILLS,University of California-San Francisco,451.16,7.18
CRAFTON HILLS,Santa Barbara,174.19,2.72
CRAFTON HILLS,Santa Cruz,410.93,6.75
CUESTA,Berkeley,237.01,3.77
CUESTA,Davis,290.37,4.48
CUESTA,Irvine,236.18,3.81
CUESTA,Los Angeles,200.45,3.26
CUESTA,Merced,202.85,3.43
CUESTA,Riverside,251.28,4.06
CUESTA,San Diego,333.36,5.25
CUESTA,University of California-San Francisco,240.48,3.81
CUESTA,Santa Barbara,104.37,1.72
CUESTA,Santa Cruz,172.78,2.87
CUYAMACA,Berkeley,504.6,7.98
CUYAMACA,Davis,527.44,8.3
CUYAMACA,Irvine,94.73,1.51
CUYAMACA,Los Angeles,130.05,2.06
CUYAMACA,Merced,408.65,6.52
CUYAMACA,Riverside,103.68,1.74
CUYAMACA,San Diego,28.02,0.55
CUYAMACA,University of California-San Francisco,515.53,8.14
CUYAMACA,Santa Barbara,236.15,3.69
CUYAMACA,Santa Cruz,475.29,7.69
CYPRESS,Berkeley,396.27,6.51
CYPRESS,Davis,419.11,6.81
CYPRESS,Irvine,20.07,0.5
CYPRESS,Los Angeles,21.72,0.58
