field,major,enrolls,year,cc_name,uc_campus
VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,3,2014,AMERICAN RIVER,Davis
VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,2014,AMERICAN RIVER,Davis
AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Food Science and Technology,3,2015,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",10,2015,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",9,2015,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,3,2015,AMERICAN RIVER,Berkeley
BIOLOGICAL AND BIOMEDICAL SCIENCES,Microbiological Sciences and Immunology,3,2015,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2015,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2015,AMERICAN RIVER,Los Angeles
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,2015,AMERICAN RIVER,Davis
ENGINEERING,Civil Engineering,3,2015,AMERICAN RIVER,Davis
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2015,AMERICAN RIVER,Berkeley
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2015,AMERICAN RIVER,Irvine
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2015,AMERICAN RIVER,San Diego
ENGINEERING,Mechanical Engineering,3,2015,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2015,AMERICAN RIVER,Davis
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",7,2015,AMERICAN RIVER,Davis
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2015,AMERICAN RIVER,Davis
HISTORY,History,6,2015,AMERICAN RIVER,Davis
MATHEMATICS AND STATISTICS,Mathematics,5,2015,AMERICAN RIVER,Davis
MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,11,2015,AMERICAN RIVER,Davis
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,3,2015,AMERICAN RIVER,Davis
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,2015,AMERICAN RIVER,Davis
PHYSICAL SCIENCES,Chemistry,4,2015,AMERICAN RIVER,Davis
PHYSICAL SCIENCES,Physics,5,2015,AMERICAN RIVER,Davis
PSYCHOLOGY,"Psychology, General",3,2015,AMERICAN RIVER,Berkeley
PSYCHOLOGY,Research and Experimental Psychology,8,2015,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Anthropology,3,2015,AMERICAN RIVER,Berkeley
SOCIAL SCIENCES,Economics,3,2015,AMERICAN RIVER,Berkeley
SOCIAL SCIENCES,Economics,5,2015,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,4,2015,AMERICAN RIVER,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,5,2015,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Sociology,3,2015,AMERICAN RIVER,Davis
VISUAL AND PERFORMING ARTS,Design and Applied Arts,3,2015,AMERICAN RIVER,Davis
AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,3,2016,AMERICAN RIVER,Davis
ARCHITECTURE AND RELATED SERVICES,"City/Urban, Community, and Regional Planning",3,2016,AMERICAN RIVER,Davis
ARCHITECTURE AND RELATED SERVICES,Landscape Architecture,3,2016,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",5,2016,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,2016,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Genetics,3,2016,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,6,2016,AMERICAN RIVER,Davis
