field,major,enrolls,year,cc_name,uc_campus
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",5,2019,MOORPARK,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2019,MOORPARK,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,2019,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,11,2019,MOORPARK,Santa Barbara
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2019,MOORPARK,San Diego
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,2019,MOORPARK,Irvine
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2019,MOORPARK,Santa Cruz
ENGINEERING,Chemical Engineering,3,2019,MOORPARK,Santa Barbara
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2019,MOORPARK,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2019,MOORPARK,Berkeley
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,2019,MOORPARK,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2019,MOORPARK,Santa Barbara
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2019,MOORPARK,Los Angeles
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2019,MOORPARK,Santa Cruz
HISTORY,History,9,2019,MOORPARK,Los Angeles
HISTORY,History,3,2019,MOORPARK,Santa Barbara
MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",7,2019,MOORPARK,Los Angeles
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,6,2019,MOORPARK,Santa Barbara
PHYSICAL SCIENCES,Chemistry,3,2019,MOORPARK,Davis
PSYCHOLOGY,"Psychology, General",11,2019,MOORPARK,Los Angeles
PSYCHOLOGY,"Psychology, General",3,2019,MOORPARK,Santa Cruz
PSYCHOLOGY,Research and Experimental Psychology,3,2019,MOORPARK,Davis
PSYCHOLOGY,Research and Experimental Psychology,3,2019,MOORPARK,Irvine
PSYCHOLOGY,Research and Experimental Psychology,7,2019,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Anthropology,12,2019,MOORPARK,Los Angeles
SOCIAL SCIENCES,Criminology,3,2019,MOORPARK,Irvine
SOCIAL SCIENCES,Economics,11,2019,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Economics,3,2019,MOORPARK,San Diego
SOCIAL SCIENCES,Political Science and Government,4,2019,MOORPARK,Berkeley
SOCIAL SCIENCES,Political Science and Government,12,2019,MOORPARK,Los Angeles
SOCIAL SCIENCES,Political Science and Government,8,2019,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Sociology,5,2019,MOORPARK,Berkeley
SOCIAL SCIENCES,Sociology,10,2019,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,5,2019,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Sociology,3,2019,MOORPARK,Santa Cruz
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2019,MOORPARK,Irvine
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2019,MOORPARK,Santa Barbara
VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,2019,MOORPARK,Santa Barbara
AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,3,2020,MOORPARK,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",6,2020,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2020,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",13,2020,MOORPARK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2020,MOORPARK,San Diego
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2020,MOORPARK,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,8,2020,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2020,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,15,2020,MOORPARK,Santa Barbara
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,2020,MOORPARK,Irvine
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,2020,MOORPARK,Santa Cruz
ENGINEERING,Civil Engineering,3,2020,MOORPARK,Los Angeles
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2020,MOORPARK,San Diego
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2020,MOORPARK,Berkeley
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,2020,MOORPARK,Los Angeles
HISTORY,History,3,2020,MOORPARK,Berkeley
HISTORY,History,6,2020,MOORPARK,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2020,MOORPARK,San Diego
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,7,2020,MOORPARK,Los Angeles
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,4,2020,MOORPARK,Santa Barbara
PHYSICAL SCIENCES,Physics,3,2020,MOORPARK,Los Angeles
PHYSICAL SCIENCES,Physics,3,2020,MOORPARK,Santa Barbara
PSYCHOLOGY,"Psychology, General",3,2020,MOORPARK,Irvine
PSYCHOLOGY,"Psychology, General",14,2020,MOORPARK,Los Angeles
PSYCHOLOGY,"Psychology, General",4,2020,MOORPARK,Santa Cruz
PSYCHOLOGY,"Psychology, General",3,2020,MOORPARK,San Diego
PSYCHOLOGY,Research and Experimental Psychology,3,2020,MOORPARK,Riverside
PSYCHOLOGY,Research and Experimental Psychology,11,2020,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Anthropology,8,2020,MOORPARK,Los Angeles
SOCIAL SCIENCES,Anthropology,5,2020,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Anthropology,3,2020,MOORPARK,Santa Cruz
SOCIAL SCIENCES,Criminology,4,2020,MOORPARK,Irvine
SOCIAL SCIENCES,Economics,5,2020,MOORPARK,Davis
SOCIAL SCIENCES,Economics,4,2020,MOORPARK,Los Angeles
SOCIAL SCIENCES,Economics,18,2020,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,5,2020,MOORPARK,Berkeley
SOCIAL SCIENCES,Political Science and Government,5,2020,MOORPARK,Irvine
SOCIAL SCIENCES,Political Science and Government,4,2020,MOORPARK,Los Angeles
SOCIAL SCIENCES,Political Science and Government,9,2020,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2020,MOORPARK,San Diego
SOCIAL SCIENCES,Sociology,12,2020,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,6,2020,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Sociology,3,2020,MOORPARK,Santa Cruz
VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,3,2020,MOORPARK,Irvine
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,2020,MOORPARK,Santa Cruz
"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",4,2021,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",3,2021,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2021,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",13,2021,MOORPARK,Santa Barbara
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2021,MOORPARK,Berkeley
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Management Sciences and Quantitative Methods,3,2021,MOORPARK,San Diego
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2021,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,28,2021,MOORPARK,Santa Barbara
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2021,MOORPARK,San Diego
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2021,MOORPARK,Santa Cruz
ENGINEERING,"Aerospace, Aeronautical, and Astronautical/Space Engineering",3,2021,MOORPARK,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2021,MOORPARK,Berkeley
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,2021,MOORPARK,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2021,MOORPARK,Santa Barbara
HEALTH PROFESSIONS AND RELATED PROGRAMS,Public Health,3,2021,MOORPARK,Irvine
HISTORY,History,5,2021,MOORPARK,Los Angeles
HISTORY,History,3,2021,MOORPARK,Santa Barbara
MATHEMATICS AND STATISTICS,Statistics,3,2021,MOORPARK,Santa Barbara
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,6,2021,MOORPARK,Los Angeles
PHYSICAL SCIENCES,Chemistry,3,2021,MOORPARK,Santa Barbara
PSYCHOLOGY,"Psychology, General",7,2021,MOORPARK,Irvine
PSYCHOLOGY,"Psychology, General",23,2021,MOORPARK,Los Angeles
PSYCHOLOGY,"Psychology, General",4,2021,MOORPARK,San Diego
PSYCHOLOGY,Research and Experimental Psychology,3,2021,MOORPARK,Davis
PSYCHOLOGY,Research and Experimental Psychology,14,2021,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Anthropology,6,2021,MOORPARK,Los Angeles
SOCIAL SCIENCES,Anthropology,4,2021,MOORPARK,Santa Cruz
SOCIAL SCIENCES,Criminology,3,2021,MOORPARK,Irvine
SOCIAL SCIENCES,Economics,6,2021,MOORPARK,Los Angeles
SOCIAL SCIENCES,Economics,11,2021,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Economics,4,2021,MOORPARK,San Diego
SOCIAL SCIENCES,Political Science and Government,12,2021,MOORPARK,Los Angeles
SOCIAL SCIENCES,Political Science and Government,6,2021,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,4,2021,MOORPARK,San Diego
SOCIAL SCIENCES,Sociology,3,2021,MOORPARK,Berkeley
SOCIAL SCIENCES,Sociology,5,2021,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,11,2021,MOORPARK,Santa Barbara
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,2021,MOORPARK,Santa Barbara
VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,2021,MOORPARK,Los Angeles
AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,5,2022,MOORPARK,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2022,MOORPARK,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,2022,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",13,2022,MOORPARK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2022,MOORPARK,Santa Cruz
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2022,MOORPARK,San Diego
BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,5,2022,MOORPARK,San Diego
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2022,MOORPARK,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2022,MOORPARK,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2022,MOORPARK,Santa Cruz
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2022,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,23,2022,MOORPARK,Santa Barbara
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2022,MOORPARK,Irvine
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,2022,MOORPARK,Riverside
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,2022,MOORPARK,Santa Cruz
ENGINEERING,Chemical Engineering,3,2022,MOORPARK,San Diego
ENGINEERING,Computer Engineering,4,2022,MOORPARK,Santa Barbara
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,2022,MOORPARK,Los Angeles
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Romance Languages, Literatures, and Linguistics",3,2022,MOORPARK,Los Angeles
HEALTH PROFESSIONS AND RELATED PROGRAMS,Public Health,5,2022,MOORPARK,Irvine
HISTORY,History,3,2022,MOORPARK,Berkeley
HISTORY,History,3,2022,MOORPARK,Santa Barbara
MATHEMATICS AND STATISTICS,Mathematics,3,2022,MOORPARK,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,3,2022,MOORPARK,Santa Barbara
MULTI/INTERDISCIPLINARY STUDIES,Cognitive Science,4,2022,MOORPARK,San Diego
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,3,2022,MOORPARK,Santa Barbara
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,4,2022,MOORPARK,Berkeley
PHYSICAL SCIENCES,Chemistry,4,2022,MOORPARK,Los Angeles
PHYSICAL SCIENCES,Chemistry,4,2022,MOORPARK,Santa Barbara
PSYCHOLOGY,"Psychology, General",7,2022,MOORPARK,Irvine
PSYCHOLOGY,"Psychology, General",14,2022,MOORPARK,Los Angeles
PSYCHOLOGY,"Psychology, General",4,2022,MOORPARK,San Diego
PSYCHOLOGY,Research and Experimental Psychology,5,2022,MOORPARK,Davis
PSYCHOLOGY,Research and Experimental Psychology,12,2022,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Economics,17,2022,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,4,2022,MOORPARK,Davis
SOCIAL SCIENCES,Political Science and Government,8,2022,MOORPARK,Los Angeles
SOCIAL SCIENCES,Political Science and Government,7,2022,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2022,MOORPARK,Santa Cruz
SOCIAL SCIENCES,Sociology,9,2022,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,9,2022,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Sociology,3,2022,MOORPARK,San Diego
VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,3,2022,MOORPARK,Irvine
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,2022,MOORPARK,Santa Barbara
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2022,MOORPARK,Santa Cruz
AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,3,2023,MOORPARK,Davis
ARCHITECTURE AND RELATED SERVICES,Real Estate Development,3,2023,MOORPARK,San Diego
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,2023,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",5,2023,MOORPARK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2023,MOORPARK,San Diego
BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,3,2023,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,3,2023,MOORPARK,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2023,MOORPARK,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,2023,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2023,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,12,2023,MOORPARK,Santa Barbara
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,8,2023,MOORPARK,San Diego
ENGINEERING,Mechanical Engineering,3,2023,MOORPARK,Berkeley
ENGINEERING,Mechanical Engineering,4,2023,MOORPARK,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2023,MOORPARK,Berkeley
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2023,MOORPARK,Santa Barbara
HISTORY,History,4,2023,MOORPARK,Los Angeles
HISTORY,History,4,2023,MOORPARK,Santa Barbara
MATHEMATICS AND STATISTICS,Applied Mathematics,3,2023,MOORPARK,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,Human Biology,3,2023,MOORPARK,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2023,MOORPARK,San Diego
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,3,2023,MOORPARK,Santa Barbara
PHYSICAL SCIENCES,Chemistry,5,2023,MOORPARK,Santa Barbara
PSYCHOLOGY,"Psychology, General",3,2023,MOORPARK,Irvine
PSYCHOLOGY,"Psychology, General",14,2023,MOORPARK,Los Angeles
PSYCHOLOGY,"Psychology, General",5,2023,MOORPARK,Santa Cruz
PSYCHOLOGY,"Psychology, General",6,2023,MOORPARK,San Diego
PSYCHOLOGY,Research and Experimental Psychology,11,2023,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Anthropology,3,2023,MOORPARK,Los Angeles
SOCIAL SCIENCES,Economics,6,2023,MOORPARK,Los Angeles
SOCIAL SCIENCES,Economics,12,2023,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Economics,4,2023,MOORPARK,San Diego
SOCIAL SCIENCES,Political Science and Government,3,2023,MOORPARK,Berkeley
SOCIAL SCIENCES,Political Science and Government,5,2023,MOORPARK,Los Angeles
SOCIAL SCIENCES,Political Science and Government,4,2023,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2023,MOORPARK,San Diego
SOCIAL SCIENCES,Sociology,3,2023,MOORPARK,Davis
SOCIAL SCIENCES,Sociology,9,2023,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,6,2023,MOORPARK,Santa Barbara
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,2023,MOORPARK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2024,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",9,2024,MOORPARK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2024,MOORPARK,San Diego
BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,4,2024,MOORPARK,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,Microbiological Sciences and Immunology,3,2024,MOORPARK,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2024,MOORPARK,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2024,MOORPARK,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,8,2024,MOORPARK,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Management Sciences and Quantitative Methods,3,2024,MOORPARK,San Diego
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2024,MOORPARK,Berkeley
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,7,2024,MOORPARK,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,14,2024,MOORPARK,Santa Barbara
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,6,2024,MOORPARK,Los Angeles
ENGINEERING,Computer Engineering,4,2024,MOORPARK,Irvine
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2024,MOORPARK,Berkeley
ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,2024,MOORPARK,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2024,MOORPARK,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2024,MOORPARK,Santa Barbara
MATHEMATICS AND STATISTICS,Applied Mathematics,5,2024,MOORPARK,Los Angeles
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,4,2024,MOORPARK,Berkeley
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,7,2024,MOORPARK,Santa Barbara
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,5,2024,MOORPARK,Los Angeles
PHYSICAL SCIENCES,Chemistry,3,2024,MOORPARK,Berkeley
PSYCHOLOGY,"Psychology, General",14,2024,MOORPARK,Los Angeles
PSYCHOLOGY,"Psychology, General",4,2024,MOORPARK,San Diego
PSYCHOLOGY,Research and Experimental Psychology,5,2024,MOORPARK,Davis
PSYCHOLOGY,Research and Experimental Psychology,6,2024,MOORPARK,Irvine
PSYCHOLOGY,Research and Experimental Psychology,4,2024,MOORPARK,Los Angeles
PSYCHOLOGY,Research and Experimental Psychology,15,2024,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Anthropology,3,2024,MOORPARK,Berkeley
SOCIAL SCIENCES,Anthropology,7,2024,MOORPARK,Los Angeles
SOCIAL SCIENCES,Anthropology,5,2024,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Economics,3,2024,MOORPARK,Los Angeles
SOCIAL SCIENCES,Economics,27,2024,MOORPARK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,13,2024,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,7,2024,MOORPARK,Los Angeles
SOCIAL SCIENCES,Sociology,11,2024,MOORPARK,Santa Barbara
VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,2024,MOORPARK,Santa Barbara
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2013,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Anthropology,3,2014,MORENO VALLEY,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2015,MORENO VALLEY,Riverside
PSYCHOLOGY,"Psychology, General",6,2015,MORENO VALLEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",7,2016,MORENO VALLEY,Riverside
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2016,MORENO VALLEY,Riverside
"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES","Liberal Arts and Sciences, General Studies and Humanities",3,2016,MORENO VALLEY,Riverside
PSYCHOLOGY,"Psychology, General",4,2016,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Sociology,3,2016,MORENO VALLEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",6,2017,MORENO VALLEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",8,2017,MORENO VALLEY,Riverside
HISTORY,History,4,2017,MORENO VALLEY,Riverside
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,5,2017,MORENO VALLEY,Riverside
PSYCHOLOGY,"Psychology, General",10,2017,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Anthropology,4,2017,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Sociology,5,2017,MORENO VALLEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",11,2018,MORENO VALLEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2018,MORENO VALLEY,Riverside
HISTORY,History,3,2018,MORENO VALLEY,Riverside
PSYCHOLOGY,"Psychology, General",7,2018,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Sociology,5,2018,MORENO VALLEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",18,2019,MORENO VALLEY,Riverside
ENGINEERING,Biomedical/Medical Engineering,3,2019,MORENO VALLEY,Riverside
ENGINEERING,Computer Engineering,3,2019,MORENO VALLEY,Riverside
ENGINEERING,Mechanical Engineering,4,2019,MORENO VALLEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",10,2019,MORENO VALLEY,Riverside
HISTORY,History,6,2019,MORENO VALLEY,Riverside
"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES","Liberal Arts and Sciences, General Studies and Humanities",7,2019,MORENO VALLEY,Riverside
PSYCHOLOGY,Research and Experimental Psychology,5,2019,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Anthropology,3,2019,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Sociology,8,2019,MORENO VALLEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",16,2020,MORENO VALLEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2020,MORENO VALLEY,Riverside
HISTORY,History,9,2020,MORENO VALLEY,Riverside
"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES","Liberal Arts and Sciences, General Studies and Humanities",4,2020,MORENO VALLEY,Riverside
MATHEMATICS AND STATISTICS,Mathematics,5,2020,MORENO VALLEY,Riverside
PSYCHOLOGY,Research and Experimental Psychology,6,2020,MORENO VALLEY,Riverside
SOCIAL SCIENCES,Sociology,8,2020,MORENO VALLEY,Riverside
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2020,MORENO VALLEY,Riverside
"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",3,2021,MORENO VALLEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",6,2021,MORENO VALLEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",13,2021,MORENO VALLEY,Riverside
EDUCATION,Social and Philosophical Foundations of Education,5,2021,MORENO VALLEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2021,MORENO VALLEY,Riverside
