year,school.name,ope6_id,aid.ftft_pell_grant_rate,aid.ftft_federal_loan_rate,aid.pell_grant_rate,aid.federal_loan_rate,aid.loan_principal,aid.median_debt.pell_grant,aid.median_debt.no_pell_grant,aid.median_debt.first_generation_students,aid.median_debt.non_first_generation_students,student.demographics.race_ethnicity.white,student.demographics.race_ethnicity.black,student.demographics.race_ethnicity.hispanic,student.demographics.race_ethnicity.asian,student.demographics.race_ethnicity.aian,student.demographics.race_ethnicity.nhpi,student.demographics.race_ethnicity.two_or_more,student.demographics.race_ethnicity.non_resident_alien,student.demographics.race_ethnicity.unknown,student.demographics.men,student.demographics.women,student.demographics.student_faculty_ratio,student.demographics.faculty.race_ethnicity.two_or_more,student.demographics.faculty.race_ethnicity.aian,student.demographics.faculty.race_ethnicity.asian,student.demographics.faculty.race_ethnicity.black,student.demographics.faculty.race_ethnicity.hispanic,student.demographics.faculty.race_ethnicity.nhpi,student.demographics.faculty.race_ethnicity.non_resident_alien,student.demographics.faculty.race_ethnicity.unknown,student.demographics.faculty.race_ethnicity.white,student.demographics.faculty.men,student.demographics.faculty.women,student.enrollment.undergrad_12_month,cost.avg_net_price.public,cost.net_price.public.by_income_level.0-30000,cost.net_price.public.by_income_level.30001-48000,cost.net_price.public.by_income_level.48001-75000,cost.net_price.public.by_income_level.75001-110000,cost.net_price.public.by_income_level.110001-plus,cost.title_iv.public.by_income_level.0-30000,cost.title_iv.public.by_income_level.30001-48000,cost.title_iv.public.by_income_level.48001-75000,cost.title_iv.public.by_income_level.75001-110000,cost.title_iv.public.by_income_level.110001-plus,cost.attendance.academic_year,cost.tuition.in_state,cost.tuition.out_of_state,cost.booksupply,cost.roomboard.oncampus,cost.otherexpense.oncampus,cost.roomboard.offcampus,cost.otherexpense.offcampus,cost.otherexpense.withfamily,admissions.admission_rate.overall,aid.median_debt.income.0_30000,aid.median_debt.income.30001_75000,aid.median_debt.income.greater_than_75000
2015,University of California-Irvine,001314,0.4263,0.4316,0.4602,0.4231,15000.0,14950.0,15000.0,14417.5,15000.0,0.1493,0.0185,0.2503,0.3731,0.0005,0.0039,0.0364,0.1572,0.0107,0.4624,0.5376,19.0,0.008,0.0046,0.2215,0.0215,0.0527,0.0013,0.1346,0.0131,0.5426,0.3928,0.6072,26027.0,13647.0,9054.0,10302.0,13672.0,21395.0,28086.0,1175.0,652.0,589.0,346.0,338.0,30796.0,13252.0,37960.0,1749.0,12947.0,4154.0,9428.0,5146.0,9888.0,0.3868,14499.0,15000.0,15000.0
2015,University of California-Los Angeles,001315,0.2997,0.3284,0.3524,0.3501,14367.0,15100.0,12500.0,13978.0,14585.5,0.2714,0.0299,0.2063,0.2937,0.0016,0.003,0.0485,0.1265,0.0191,0.4394,0.5606,16.0,0.0036,0.0027,0.2132,0.0228,0.049,0.0014,0.1493,0.0228,0.5352,0.3598,0.6402,31797.0,13454.0,7880.0,8889.0,12439.0,19557.0,28237.0,837.0,460.0,399.0,264.0,376.0,32594.0,12763.0,37471.0,1611.0,14832.0,4185.0,10238.0,4880.0,10329.0,0.1728,12302.0,15343.0,15000.0
2015,University of California-Riverside,001316,0.5193,0.5275,0.568,0.5378,16758.0,17000.0,15891.5,16292.5,17500.0,0.1321,0.0418,0.3627,0.3665,0.0015,0.0039,0.0404,0.0405,0.0104,0.4806,0.5194,22.0,0.0026,0.007,0.1912,0.0333,0.0667,0.0,0.1579,0.0228,0.5184,0.3649,0.6351,20033.0,11760.0,7831.0,8264.0,10888.0,17643.0,26492.0,1111.0,645.0,545.0,347.0,343.0,30946.0,13527.0,38235.0,1690.0,13800.0,4468.0,8662.0,5281.0,10044.0,0.556,16790.0,16336.0,17693.5
2015,University of California-San Diego,001317,0.3342,0.3739,0.3844,0.3909,16500.0,17759.0,15000.0,17243.5,16500.0,0.2144,0.0123,0.1558,0.3749,0.0012,0.0032,0.0474,0.1733,0.0175,0.5249,0.4751,19.0,0.0009,0.0026,0.1487,0.0156,0.0496,0.0003,0.2388,0.009,0.5346,0.3445,0.6555,26247.0,13816.0,8386.0,9823.0,13316.0,20696.0,27795.0,814.0,443.0,452.0,270.0,326.0,30842.0,13530.0,38238.0,1516.0,12071.0,4349.0,9746.0,5445.0,10284.0,0.3374,17333.0,17118.0,15000.0
2015,University of California-San Francisco,001319,,,,,5000.0,,,5962.0,5000.0,,,,,,,,,,,,,0.0059,0.002,0.2211,0.0213,0.0395,0.0011,0.1892,0.0255,0.4944,0.4798,0.5202,,,,,,,,,,,,,,,,,,,,,,,5000.0,,
2015,University of California-Santa Barbara,001320,0.3831,0.4144,0.3806,0.4025,14586.0,15000.0,13000.0,15000.0,14366.0,0.3454,0.0219,0.257,0.192,0.0013,0.0013,0.084,0.0706,0.0266,0.4718,0.5282,17.0,0.003,0.0074,0.0887,0.017,0.0547,0.0,0.187,0.0296,0.6127,0.3444,0.6556,21515.0,14748.0,9558.0,10879.0,14448.0,21500.0,30717.0,931.0,545.0,409.0,256.0,334.0,34493.0,13968.0,38676.0,1403.0,14594.0,5238.0,9461.0,5679.0,11163.0,0.3264,14666.0,15000.0,13812.0
2015,University of California-Santa Cruz,001321,0.4048,0.5156,0.4534,0.5256,16858.0,17780.0,14700.0,17360.0,16250.0,0.3301,0.0195,0.3116,0.2106,0.001,0.0023,0.0732,0.0355,0.0161,0.4748,0.5252,18.0,0.0049,0.0123,0.1221,0.0173,0.09,0.0,0.106,0.0259,0.6215,0.4069,0.5931,17209.0,17205.0,11523.0,12618.0,16164.0,24125.0,31789.0,830.0,456.0,415.0,277.0,365.0,34125.0,13461.0,38169.0,1448.0,14952.0,4903.0,9890.0,5680.0,11025.0,0.5029,17200.0,17700.0,15000.0
2015,University of California-Merced,041271,0.6195,0.5465,0.611,0.5493,15466.5,15301.0,15500.0,14747.0,15794.0,0.1275,0.0481,0.4847,0.2309,0.0022,0.0074,0.0385,0.0529,0.0079,0.4865,0.5135,18.0,0.0106,0.0106,0.1504,0.0211,0.1055,0.0,0.1425,0.0158,0.5435,0.4116,0.5884,6175.0,12999.0,9568.0,10467.0,13500.0,19184.0,28005.0,495.0,266.0,245.0,121.0,100.0,32361.0,13208.0,37916.0,1429.0,15646.0,4491.0,6943.0,5376.0,10488.0,0.6069,15000.0,14000.0,18201.5
2016,University of California-Berkeley,001312,0.2299,0.2408,0.3031,0.26,12643.0,13150.0,11172.5,12040.0,12996.0,0.2632,0.0196,0.1464,0.3542,0.0022,0.0016,0.0427,0.129,0.041,0.4833,0.5167,18.0,0.0122,0.001,0.124,0.0232,0.0516,0.0013,0.214,0.086,0.4866,0.3586,0.6414,29591.0,14468.0,8677.0,9522.0,13920.0,20858.0,29197.0,592.0,332.0,301.0,183.0,276.0,34924.0,13509.0,40191.0,1262.0,16389.0,5209.0,10540.0,5162.0,11227.0,0.1693,11105.5,13000.0,14000.0
2016,University of California-Davis,001313,0.3388,0.3835,0.3983,0.3683,12334.0,12778.0,11000.0,12167.0,12457.0,0.267,0.0227,0.202,0.3018,0.0018,0.0049,0.0518,0.1334,0.0145,0.4071,0.5929,20.0,0.0063,0.003,0.1691,0.0155,0.0583,0.0008,0.1623,0.0278,0.5569,0.4216,0.5784,30215.0,15309.0,10048.0,10813.0,14186.0,20416.0,29890.0,872.0,529.0,429.0,325.0,397.0,33904.0,14046.0,40728.0,1601.0,14838.0,4482.0,8606.0,5665.0,10907.0,0.4228,11056.0,12795.0,13000.0
