year,college,eops_headcount,eops_care_headcount
2014,Lake Tahoe,108.0,13.0
2014,Laney,648.0,140.0
2014,Las Positas,200.0,16.0
2014,Lassen,189.0,12.0
2014,Lemoore College,204.0,16.0
2014,Long Beach,1427.0,119.0
2014,Los Medanos,474.0,78.0
2014,Marin,326.0,28.0
2014,Mendocino,185.0,5.0
2014,Merced,998.0,70.0
2014,Merritt,483.0,84.0
2014,MiraCosta,572.0,46.0
2014,Mission,367.0,25.0
2014,Modesto,879.0,63.0
2014,Monterey,415.0,60.0
2014,Moorpark,378.0,23.0
2014,Moreno Valley,365.0,46.0
2014,Mt San Antonio,823.0,78.0
2014,Mt. San Jacinto,455.0,77.0
2014,Napa,189.0,23.0
2014,Norco,310.0,20.0
2014,Ohlone,197.0,26.0
2014,Orange Coast,1277.0,71.0
2014,Oxnard,805.0,115.0
2014,Palo Verde,373.0,15.0
2014,Palomar,833.0,30.0
2014,Pasadena,920.0,5.0
2014,Porterville,474.0,40.0
2014,Redwoods,775.0,59.0
2014,Reedley College,680.0,45.0
2014,Rio Hondo,854.0,93.0
2014,Riverside,513.0,61.0
2014,Sacramento City,962.0,83.0
2014,Saddleback,363.0,8.0
2014,San Bernardino,744.0,58.0
2014,San Diego City,1100.0,59.0
2014,San Diego Mesa,601.0,33.0
2014,San Diego Miramar,449.0,18.0
2014,San Francisco,943.0,69.0
2014,San Joaquin Delta,900.0,119.0
2014,San Jose City,644.0,59.0
2014,San Mateo,361.0,6.0
2014,Santa Ana,1059.0,43.0
2014,Santa Barbara,1328.0,35.0
2014,Santa Monica,861.0,25.0
2014,Santa Rosa,530.0,43.0
2014,Santiago Canyon,322.0,15.0
2014,Sequoias,999.0,97.0
2014,Shasta,754.0,43.0
2014,Sierra,536.0,83.0
2014,Siskiyous,306.0,8.0
2014,Skyline,397.0,45.0
2014,Solano,304.0,20.0
2014,Southwestern,1823.0,86.0
2014,Taft,228.0,15.0
2014,Ventura,622.0,19.0
2014,Victor Valley,1247.0,18.0
2014,West LA,504.0,61.0
2014,West Valley,252.0,18.0
2014,Woodland,163.0,27.0
2014,Yuba,627.0,65.0
2015,Alameda,537.0,27.0
2015,Allan Hancock,552.0,128.0
2015,American River,1020.0,113.0
2015,Antelope Valley,555.0,78.0
2015,Bakersfield,766.0,98.0
2015,Barstow,257.0,83.0
2015,Berkeley City,274.0,30.0
2015,Butte,1175.0,90.0
2015,Cabrillo,271.0,52.0
2015,Canada,295.0,24.0
2015,Canyons,478.0,46.0
2015,Cerritos,838.0,54.0
2015,Cerro Coso,254.0,32.0
2015,Chabot Hayward,303.0,33.0
2015,Chaffey,835.0,79.0
2015,Citrus,575.0,30.0
2015,Coalinga College,186.0,21.0
2015,Coastline,165.0,11.0
2015,Columbia,201.0,11.0
2015,Compton,768.0,172.0
2015,Contra Costa,622.0,51.0
