,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years
,Cohort Year 2004-2005,Cohort Year 2004-2005,Cohort Year 2005-2006,Cohort Year 2005-2006,Cohort Year 2006-2007,Cohort Year 2006-2007,Cohort Year 2007-2008,Cohort Year 2007-2008,Cohort Year 2008-2009,Cohort Year 2008-2009,Cohort Year 2009-2010,Cohort Year 2009-2010,Cohort Year 2010-2011,Cohort Year 2010-2011,Cohort Year 2011-2012,Cohort Year 2011-2012,Cohort Year 2012-2013,Cohort Year 2012-2013,Cohort Year 2013-2014,Cohort Year 2013-2014,Cohort Year 2014-2015,Cohort Year 2014-2015
,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student
San Francisco,590,1885,618,1907,528,1943,525,1991,528,2010,391,1805,425,1732,476,1748,483,1559,460,1497,381,1200
San Joaquin Delta,405,1716,427,1743,482,2142,533,2434,571,2533,487,2439,414,2183,453,2212,414,2124,424,2187,560,2676
San Jose City,119,559,129,583,143,626,127,593,149,678,146,681,120,614,109,566,105,492,100,543,104,483
San Mateo,265,810,281,965,204,654,251,809,224,794,256,936,277,879,245,860,294,892,353,1038,353,997
Santa Ana,226,1006,240,1106,269,1224,236,1196,229,1185,258,1456,262,1473,263,1520,323,1637,350,1703,316,1666
Santa Barbara,532,1550,697,1772,618,1744,622,1752,695,2028,559,1846,612,1910,686,2092,708,2228,693,2477,645,1828
Santa Monica,955,2496,894,2508,920,2650,870,2678,925,2918,901,3252,914,3085,857,3134,910,3164,989,3410,1048,3467
Santa Rosa,398,1516,485,2159,430,2126,487,2210,448,2341,437,2142,423,2070,379,1934,365,1848,481,2161,482,2280
Santiago Canyon,284,828,331,888,320,945,332,1034,296,1046,309,1075,318,1095,445,1223,435,1324,491,1395,480,1372
Sequoias,241,1046,268,1098,308,1440,262,1400,301,1579,279,1466,285,1432,269,1272,256,1260,359,1508,375,1527
Shasta,174,823,186,826,183,826,179,930,222,1115,207,1030,220,1027,209,952,217,1018,313,1380,270,1192
Sierra,699,2216,687,2216,606,2316,591,2434,613,2674,535,2412,613,2444,603,2401,628,2411,737,2703,720,2667
Siskiyous,46,185,53,193,46,183,47,188,46,215,76,255,45,254,65,212,45,195,49,187,50,189
Skyline,126,438,172,566,175,717,157,636,156,681,156,759,160,645,163,761,215,823,238,973,268,988
Solano,268,1093,242,1112,250,1156,264,1215,252,1171,190,1118,211,1090,240,1032,167,835,247,1195,269,1165
Southwestern,507,2524,446,2523,445,2508,491,2667,316,1941,398,2805,316,2386,359,2633,359,2537,407,2666,332,2507
Taft,43,225,53,203,57,235,52,230,78,277,75,291,92,374,104,362,109,379,95,329,111,357
Ventura,313,1138,345,1226,288,1163,351,1415,336,1529,312,1514,268,1163,306,1352,349,1366,409,1508,428,1747
Victor Valley,199,1006,228,1089,205,1089,266,1338,210,1439,191,1386,173,1289,152,1263,161,1277,131,1267,169,1403
West LA,78,313,82,354,80,342,93,366,88,414,57,380,70,468,63,416,73,500,87,534,111,600
West Valley,255,891,248,787,266,1049,221,691,271,1041,219,848,305,979,281,925,311,944,334,941,324,899
Woodland,,,,,,,,,25,210,40,277,37,288,52,258,50,252,52,264,37,270
Yuba,173,721,175,772,186,905,178,924,141,841,126,735,105,633,150,756,170,915,190,909,209,990
