cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
Cerritos College,University of California-Berkeley,33.886874,-118.097337,37.871918,-122.260463,627881,22861,OK
Cerritos College,University of California-Davis,33.886874,-118.097337,38.539667,-121.749567,664645,23924,OK
Cerritos College,University of California-Irvine,33.886874,-118.097337,33.648434,-117.841248,43606,1849,OK
Cerritos College,University of California-Los Angeles,33.886874,-118.097337,34.066927,-118.168965,25110,1400,OK
Cerritos College,University of California-Merced,33.886874,-118.097337,37.366237,-120.424944,473466,17380,OK
Cerritos College,University of California-Riverside,33.886874,-118.097337,33.97246,-117.32741,90181,4413,OK
Cerritos College,University of California-San Diego,33.886874,-118.097337,32.877749,-117.235866,155803,5367,OK
Cerritos College,University of California-San Francisco,33.886874,-118.097337,37.763737,-122.458489,645472,23432,OK
Cerritos College,University of California-Santa Barbara,33.886874,-118.097337,34.416297,-119.846426,200949,7607,OK
Cerritos College,University of California-Santa Cruz,33.886874,-118.097337,36.995584,-122.058801,580718,21799,OK
Cerro Coso Community College,University of California-Berkeley,35.567525,-117.66767,37.871918,-122.260463,631913,23001,OK
Cerro Coso Community College,University of California-Davis,35.567525,-117.66767,38.539667,-121.749567,668677,24090,OK
Cerro Coso Community College,University of California-Irvine,35.567525,-117.66767,33.648434,-117.841248,265624,10521,OK
Cerro Coso Community College,University of California-Los Angeles,35.567525,-117.66767,34.066927,-118.168965,258993,9896,OK
Cerro Coso Community College,University of California-Merced,35.567525,-117.66767,37.366237,-120.424944,458587,16613,OK
Cerro Coso Community College,University of California-Riverside,35.567525,-117.66767,33.97246,-117.32741,213213,8646,OK
Cerro Coso Community College,University of California-San Diego,35.567525,-117.66767,32.877749,-117.235866,357787,13427,OK
Cerro Coso Community College,University of California-San Francisco,35.567525,-117.66767,37.763737,-122.458489,649504,23600,OK
Cerro Coso Community College,University of California-Santa Barbara,35.567525,-117.66767,34.416297,-119.846426,363522,13621,OK
Cerro Coso Community College,University of California-Santa Cruz,35.567525,-117.66767,36.995584,-122.058801,584750,21947,OK
Chabot College,University of California-Berkeley,37.642458,-122.105636,37.871918,-122.260463,39168,2216,OK
Chabot College,University of California-Davis,37.642458,-122.105636,38.539667,-121.749567,135276,5211,OK
Chabot College,University of California-Irvine,37.642458,-122.105636,33.648434,-117.841248,658017,23407,OK
Chabot College,University of California-Los Angeles,37.642458,-122.105636,34.066927,-118.168965,592126,21167,OK
Chabot College,University of California-Merced,37.642458,-122.105636,37.366237,-120.424944,189645,7744,OK
Chabot College,University of California-Riverside,37.642458,-122.105636,33.97246,-117.32741,673623,24190,OK
Chabot College,University of California-San Diego,37.642458,-122.105636,32.877749,-117.235866,805720,28472,OK
Chabot College,University of California-San Francisco,37.642458,-122.105636,37.763737,-122.458489,55693,2739,OK
Chabot College,University of California-Santa Barbara,37.642458,-122.105636,34.416297,-119.846426,495731,17605,OK
Chabot College,University of California-Santa Cruz,37.642458,-122.105636,36.995584,-122.058801,95430,4177,OK
Chaffey College,University of California-Berkeley,34.147663,-117.573932,37.871918,-122.260463,657663,23579,OK
Chaffey College,University of California-Davis,34.147663,-117.573932,38.539667,-121.749567,694427,24637,OK
Chaffey College,University of California-Irvine,34.147663,-117.573932,33.648434,-117.841248,87391,3443,OK
Chaffey College,University of California-Los Angeles,34.147663,-117.573932,34.066927,-118.168965,63775,2534,OK
Chaffey College,University of California-Merced,34.147663,-117.573932,37.366237,-120.424944,503248,18083,OK
Chaffey College,University of California-Riverside,34.147663,-117.573932,33.97246,-117.32741,46316,2718,OK
Chaffey College,University of California-San Diego,34.147663,-117.573932,32.877749,-117.235866,185448,6419,OK
Chaffey College,University of California-San Francisco,34.147663,-117.573932,37.763737,-122.458489,675254,24137,OK
Chaffey College,University of California-Santa Barbara,34.147663,-117.573932,34.416297,-119.846426,229511,8178,OK
Chaffey College,University of California-Santa Cruz,34.147663,-117.573932,36.995584,-122.058801,610500,22511,OK
Citrus College,University of California-Berkeley,34.13537,-117.886469,37.871918,-122.260463,628555,22639,OK
Citrus College,University of California-Davis,34.13537,-117.886469,38.539667,-121.749567,665319,23720,OK
Citrus College,University of California-Irvine,34.13537,-117.886469,33.648434,-117.841248,71010,3035,OK
Citrus College,University of California-Los Angeles,34.13537,-117.886469,34.066927,-118.168965,34668,1579,OK
Citrus College,University of California-Merced,34.13537,-117.886469,37.366237,-120.424944,474140,17178,OK
Citrus College,University of California-Riverside,34.13537,-117.886469,33.97246,-117.32741,64441,3527,OK
Citrus College,University of California-San Diego,34.13537,-117.886469,32.877749,-117.235866,176514,6342,OK
Citrus College,University of California-San Francisco,34.13537,-117.886469,37.763737,-122.458489,646146,23239,OK
Citrus College,University of California-Santa Barbara,34.13537,-117.886469,34.416297,-119.846426,200404,7265,OK
Citrus College,University of California-Santa Cruz,34.13537,-117.886469,36.995584,-122.058801,581392,21579,OK
