Year,UC,Field,Major,Enrolls,CC
2020-21,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",10,EAST LOS ANGELES COLLEGE
2020-21,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,EAST LOS ANGELES COLLEGE
2020-21,UCSD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,EAST LOS ANGELES COLLEGE
2020-21,UCSC,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,EAST LOS ANGELES COLLEGE
2020-21,UCSD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,EAST LOS ANGELES COLLEGE
2020-21,UCB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,EAST LOS ANGELES COLLEGE
2020-21,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",9,EAST LOS ANGELES COLLEGE
2020-21,UCLA,HISTORY,History,3,EAST LOS ANGELES COLLEGE
2020-21,UCLA,MATHEMATICS AND STATISTICS,Applied Mathematics,5,EAST LOS ANGELES COLLEGE
2020-21,UCLA,MATHEMATICS AND STATISTICS,Mathematics,5,EAST LOS ANGELES COLLEGE
2020-21,UCLA,MATHEMATICS AND STATISTICS,Statistics,4,EAST LOS ANGELES COLLEGE
2020-21,UCI,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,4,EAST LOS ANGELES COLLEGE
2020-21,UCSD,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,11,EAST LOS ANGELES COLLEGE
2020-21,UCSD,MULTI/INTERDISCIPLINARY STUDIES,Mathematics and Computer Science,3,EAST LOS ANGELES COLLEGE
2020-21,UCD,PHYSICAL SCIENCES,Chemistry,3,EAST LOS ANGELES COLLEGE
2020-21,UCSD,PHYSICAL SCIENCES,Chemistry,3,EAST LOS ANGELES COLLEGE
2020-21,UCLA,PSYCHOLOGY,"Psychology, General",6,EAST LOS ANGELES COLLEGE
2020-21,UCSD,PSYCHOLOGY,"Psychology, General",3,EAST LOS ANGELES COLLEGE
2020-21,UCLA,SOCIAL SCIENCES,Anthropology,4,EAST LOS ANGELES COLLEGE
2020-21,UCI,SOCIAL SCIENCES,Criminology,5,EAST LOS ANGELES COLLEGE
2020-21,UCR,SOCIAL SCIENCES,Economics,5,EAST LOS ANGELES COLLEGE
2020-21,UCSB,SOCIAL SCIENCES,Economics,11,EAST LOS ANGELES COLLEGE
2020-21,UCSD,SOCIAL SCIENCES,Economics,8,EAST LOS ANGELES COLLEGE
2020-21,UCLA,SOCIAL SCIENCES,Sociology,10,EAST LOS ANGELES COLLEGE
2020-21,UCR,SOCIAL SCIENCES,Sociology,9,EAST LOS ANGELES COLLEGE
2020-21,UCSB,SOCIAL SCIENCES,Sociology,4,EAST LOS ANGELES COLLEGE
2020-21,UCI,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,EAST LOS ANGELES COLLEGE
2020-21,UCR,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,EAST LOS ANGELES COLLEGE
2020-21,UCI,VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,EAST LOS ANGELES COLLEGE
2021-22,UCD,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,3,EAST LOS ANGELES COLLEGE
2021-22,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",3,EAST LOS ANGELES COLLEGE
2021-22,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",8,EAST LOS ANGELES COLLEGE
2021-22,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,EAST LOS ANGELES COLLEGE
2021-22,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,EAST LOS ANGELES COLLEGE
2021-22,UCB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,EAST LOS ANGELES COLLEGE
2021-22,UCSD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,5,EAST LOS ANGELES COLLEGE
2021-22,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,EAST LOS ANGELES COLLEGE
2021-22,UCI,HEALTH PROFESSIONS AND RELATED PROGRAMS,Public Health,3,EAST LOS ANGELES COLLEGE
2021-22,UCI,MATHEMATICS AND STATISTICS,Mathematics,4,EAST LOS ANGELES COLLEGE
2021-22,UCLA,MATHEMATICS AND STATISTICS,Mathematics,4,EAST LOS ANGELES COLLEGE
2021-22,UCLA,MATHEMATICS AND STATISTICS,Statistics,3,EAST LOS ANGELES COLLEGE
2021-22,UCSD,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,4,EAST LOS ANGELES COLLEGE
2021-22,UCI,MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",4,EAST LOS ANGELES COLLEGE
2021-22,UCI,PSYCHOLOGY,"Psychology, General",6,EAST LOS ANGELES COLLEGE
2021-22,UCLA,PSYCHOLOGY,"Psychology, General",8,EAST LOS ANGELES COLLEGE
2021-22,UCM,PSYCHOLOGY,"Psychology, General",3,EAST LOS ANGELES COLLEGE
2021-22,UCD,PSYCHOLOGY,Research and Experimental Psychology,3,EAST LOS ANGELES COLLEGE
2021-22,UCI,PSYCHOLOGY,Research and Experimental Psychology,8,EAST LOS ANGELES COLLEGE
2021-22,UCI,SOCIAL SCIENCES,Economics,3,EAST LOS ANGELES COLLEGE
2021-22,UCLA,SOCIAL SCIENCES,Economics,3,EAST LOS ANGELES COLLEGE
2021-22,UCR,SOCIAL SCIENCES,Economics,8,EAST LOS ANGELES COLLEGE
2021-22,UCSB,SOCIAL SCIENCES,Economics,6,EAST LOS ANGELES COLLEGE
2021-22,UCSD,SOCIAL SCIENCES,Economics,12,EAST LOS ANGELES COLLEGE
2021-22,UCB,SOCIAL SCIENCES,Political Science and Government,3,EAST LOS ANGELES COLLEGE
2021-22,UCI,SOCIAL SCIENCES,Political Science and Government,3,EAST LOS ANGELES COLLEGE
2021-22,UCLA,SOCIAL SCIENCES,Political Science and Government,4,EAST LOS ANGELES COLLEGE
2021-22,UCR,SOCIAL SCIENCES,Political Science and Government,3,EAST LOS ANGELES COLLEGE
2021-22,UCD,SOCIAL SCIENCES,Sociology,4,EAST LOS ANGELES COLLEGE
2021-22,UCI,SOCIAL SCIENCES,Sociology,5,EAST LOS ANGELES COLLEGE
2021-22,UCLA,SOCIAL SCIENCES,Sociology,10,EAST LOS ANGELES COLLEGE
2021-22,UCR,SOCIAL SCIENCES,Sociology,4,EAST LOS ANGELES COLLEGE
2021-22,UCSB,SOCIAL SCIENCES,Sociology,4,EAST LOS ANGELES COLLEGE
2021-22,UCSD,SOCIAL SCIENCES,Sociology,3,EAST LOS ANGELES COLLEGE
2021-22,UCI,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,EAST LOS ANGELES COLLEGE
2021-22,UCI,VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,EAST LOS ANGELES COLLEGE
2022-23,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",Area Studies,3,EAST LOS ANGELES COLLEGE
2022-23,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",3,EAST LOS ANGELES COLLEGE
2022-23,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,EAST LOS ANGELES COLLEGE
2022-23,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,EAST LOS ANGELES COLLEGE
2022-23,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,EAST LOS ANGELES COLLEGE
2022-23,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,EAST LOS ANGELES COLLEGE
2022-23,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,11,EAST LOS ANGELES COLLEGE
2022-23,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,EAST LOS ANGELES COLLEGE
2022-23,UCSD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,EAST LOS ANGELES COLLEGE
2022-23,UCI,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,EAST LOS ANGELES COLLEGE
2022-23,UCLA,EDUCATION,Social and Philosophical Foundations of Education,3,EAST LOS ANGELES COLLEGE
2022-23,UCB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,Rhetoric and Composition/Writing Studies,3,EAST LOS ANGELES COLLEGE
2022-23,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,EAST LOS ANGELES COLLEGE
2022-23,UCLA,HISTORY,History,5,EAST LOS ANGELES COLLEGE
2022-23,UCSD,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,6,EAST LOS ANGELES COLLEGE
2022-23,UCLA,PSYCHOLOGY,"Psychology, General",8,EAST LOS ANGELES COLLEGE
2022-23,UCSD,PSYCHOLOGY,"Psychology, General",3,EAST LOS ANGELES COLLEGE
2022-23,UCD,PSYCHOLOGY,Research and Experimental Psychology,3,EAST LOS ANGELES COLLEGE
2022-23,UCI,PSYCHOLOGY,Research and Experimental Psychology,6,EAST LOS ANGELES COLLEGE
2022-23,UCSB,PSYCHOLOGY,Research and Experimental Psychology,3,EAST LOS ANGELES COLLEGE
2022-23,UCB,SOCIAL SCIENCES,Anthropology,3,EAST LOS ANGELES COLLEGE
2022-23,UCI,SOCIAL SCIENCES,Criminology,4,EAST LOS ANGELES COLLEGE
2022-23,UCSB,SOCIAL SCIENCES,Economics,6,EAST LOS ANGELES COLLEGE
2022-23,UCSD,SOCIAL SCIENCES,Economics,4,EAST LOS ANGELES COLLEGE
2022-23,UCSB,SOCIAL SCIENCES,Political Science and Government,4,EAST LOS ANGELES COLLEGE
2022-23,UCI,SOCIAL SCIENCES,Sociology,4,EAST LOS ANGELES COLLEGE
2022-23,UCLA,SOCIAL SCIENCES,Sociology,5,EAST LOS ANGELES COLLEGE
2022-23,UCI,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,EAST LOS ANGELES COLLEGE
2023-24,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,EAST LOS ANGELES COLLEGE
2023-24,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,EAST LOS ANGELES COLLEGE
2023-24,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,6,EAST LOS ANGELES COLLEGE
2023-24,UCSD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Management Sciences and Quantitative Methods,4,EAST LOS ANGELES COLLEGE
2023-24,UCSD,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,4,EAST LOS ANGELES COLLEGE
2023-24,UCLA,PSYCHOLOGY,"Psychology, General",5,EAST LOS ANGELES COLLEGE
2023-24,UCSD,PSYCHOLOGY,"Psychology, General",4,EAST LOS ANGELES COLLEGE
2023-24,UCI,PSYCHOLOGY,Research and Experimental Psychology,5,EAST LOS ANGELES COLLEGE
2023-24,UCI,SOCIAL SCIENCES,Criminology,5,EAST LOS ANGELES COLLEGE
2023-24,UCR,SOCIAL SCIENCES,Economics,3,EAST LOS ANGELES COLLEGE
2023-24,UCSD,SOCIAL SCIENCES,Economics,4,EAST LOS ANGELES COLLEGE
2023-24,UCI,SOCIAL SCIENCES,Political Science and Government,3,EAST LOS ANGELES COLLEGE
2023-24,UCLA,SOCIAL SCIENCES,Political Science and Government,6,EAST LOS ANGELES COLLEGE
2012-13,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",Area Studies,3,EL CAMINO COLLEGE
2012-13,UCI,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",6,EL CAMINO COLLEGE
2012-13,UCLA,BIOLOGICAL AND BIOMEDICAL SCIENCES,Microbiological Sciences and Immunology,3,EL CAMINO COLLEGE
2012-13,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,EL CAMINO COLLEGE
2012-13,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",7,EL CAMINO COLLEGE
2012-13,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,EL CAMINO COLLEGE
2012-13,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,EL CAMINO COLLEGE
2012-13,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,EL CAMINO COLLEGE
2012-13,UCSC,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,EL CAMINO COLLEGE
2012-13,UCB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,EL CAMINO COLLEGE
2012-13,UCSD,ENGINEERING,Chemical Engineering,3,EL CAMINO COLLEGE
2012-13,UCB,ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,EL CAMINO COLLEGE
2012-13,UCLA,ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,EL CAMINO COLLEGE
2012-13,UCI,ENGINEERING,Mechanical Engineering,5,EL CAMINO COLLEGE
2012-13,UCB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,EL CAMINO COLLEGE
2012-13,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",13,EL CAMINO COLLEGE
2012-13,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","East Asian Languages, Literatures, and Linguistics",5,EL CAMINO COLLEGE
2012-13,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",5,EL CAMINO COLLEGE
2012-13,UCLA,HISTORY,History,8,EL CAMINO COLLEGE
2012-13,UCLA,MATHEMATICS AND STATISTICS,Applied Mathematics,3,EL CAMINO COLLEGE
2012-13,UCI,MATHEMATICS AND STATISTICS,Mathematics,3,EL CAMINO COLLEGE
2012-13,UCLA,MATHEMATICS AND STATISTICS,Mathematics,10,EL CAMINO COLLEGE
2012-13,UCSD,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,EL CAMINO COLLEGE
2012-13,UCLA,MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",5,EL CAMINO COLLEGE
2012-13,UCD,MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,3,EL CAMINO COLLEGE
2012-13,UCLA,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,EL CAMINO COLLEGE
2012-13,UCLA,PHYSICAL SCIENCES,Physics,4,EL CAMINO COLLEGE
2012-13,UCSB,PHYSICAL SCIENCES,Physics,3,EL CAMINO COLLEGE
2012-13,UCI,PSYCHOLOGY,"Psychology, General",3,EL CAMINO COLLEGE
2012-13,UCLA,PSYCHOLOGY,"Psychology, General",9,EL CAMINO COLLEGE
2012-13,UCSB,PSYCHOLOGY,"Psychology, General",4,EL CAMINO COLLEGE
2012-13,UCSC,PSYCHOLOGY,"Psychology, General",3,EL CAMINO COLLEGE
2012-13,UCSD,PSYCHOLOGY,"Psychology, General",3,EL CAMINO COLLEGE
2012-13,UCI,PSYCHOLOGY,Research and Experimental Psychology,5,EL CAMINO COLLEGE
2012-13,UCLA,SOCIAL SCIENCES,Anthropology,7,EL CAMINO COLLEGE
2012-13,UCB,SOCIAL SCIENCES,Economics,8,EL CAMINO COLLEGE
2012-13,UCSB,SOCIAL SCIENCES,Economics,3,EL CAMINO COLLEGE
2012-13,UCSD,SOCIAL SCIENCES,Economics,15,EL CAMINO COLLEGE
2012-13,UCB,SOCIAL SCIENCES,Political Science and Government,5,EL CAMINO COLLEGE
2012-13,UCLA,SOCIAL SCIENCES,Political Science and Government,4,EL CAMINO COLLEGE
2012-13,UCR,SOCIAL SCIENCES,Political Science and Government,3,EL CAMINO COLLEGE
2012-13,UCD,SOCIAL SCIENCES,Sociology,3,EL CAMINO COLLEGE
2012-13,UCI,SOCIAL SCIENCES,Sociology,8,EL CAMINO COLLEGE
2012-13,UCLA,SOCIAL SCIENCES,Sociology,8,EL CAMINO COLLEGE
2012-13,UCSB,SOCIAL SCIENCES,Sociology,3,EL CAMINO COLLEGE
2012-13,UCI,VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,3,EL CAMINO COLLEGE
2013-14,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",Area Studies,6,EL CAMINO COLLEGE
2013-14,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",3,EL CAMINO COLLEGE
2013-14,UCSD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",4,EL CAMINO COLLEGE
2013-14,UCI,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",6,EL CAMINO COLLEGE
2013-14,UCB,BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,5,EL CAMINO COLLEGE
2013-14,UCSD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,3,EL CAMINO COLLEGE
2013-14,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",7,EL CAMINO COLLEGE
2013-14,UCI,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,EL CAMINO COLLEGE
2013-14,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,9,EL CAMINO COLLEGE
2013-14,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,5,EL CAMINO COLLEGE
2013-14,UCSD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,EL CAMINO COLLEGE
2013-14,UCI,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,EL CAMINO COLLEGE
2013-14,UCSD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,EL CAMINO COLLEGE
2013-14,UCSD,ENGINEERING,Computer Engineering,3,EL CAMINO COLLEGE
2013-14,UCSD,ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,EL CAMINO COLLEGE
2013-14,UCB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,EL CAMINO COLLEGE
2013-14,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,EL CAMINO COLLEGE
2013-14,UCI,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","East Asian Languages, Literatures, and Linguistics",3,EL CAMINO COLLEGE
2013-14,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",6,EL CAMINO COLLEGE
2013-14,UCI,HEALTH PROFESSIONS AND RELATED PROGRAMS,Public Health,3,EL CAMINO COLLEGE
2013-14,UCLA,MATHEMATICS AND STATISTICS,Mathematics,3,EL CAMINO COLLEGE
2013-14,UCI,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,4,EL CAMINO COLLEGE
2013-14,UCB,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,EL CAMINO COLLEGE
2013-14,UCLA,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,4,EL CAMINO COLLEGE
2013-14,UCI,PHYSICAL SCIENCES,Chemistry,4,EL CAMINO COLLEGE
2013-14,UCLA,PHYSICAL SCIENCES,Physics,3,EL CAMINO COLLEGE
2013-14,UCB,PSYCHOLOGY,"Psychology, General",3,EL CAMINO COLLEGE
2013-14,UCI,PSYCHOLOGY,"Psychology, General",5,EL CAMINO COLLEGE
2013-14,UCLA,PSYCHOLOGY,"Psychology, General",5,EL CAMINO COLLEGE
2013-14,UCSB,PSYCHOLOGY,"Psychology, General",4,EL CAMINO COLLEGE
2013-14,UCSC,PSYCHOLOGY,"Psychology, General",4,EL CAMINO COLLEGE
2013-14,UCI,PSYCHOLOGY,Research and Experimental Psychology,11,EL CAMINO COLLEGE
2013-14,UCLA,SOCIAL SCIENCES,Anthropology,16,EL CAMINO COLLEGE
2013-14,UCR,SOCIAL SCIENCES,Anthropology,3,EL CAMINO COLLEGE
2013-14,UCI,SOCIAL SCIENCES,Criminology,3,EL CAMINO COLLEGE
2013-14,UCB,SOCIAL SCIENCES,Economics,6,EL CAMINO COLLEGE
2013-14,UCLA,SOCIAL SCIENCES,Economics,6,EL CAMINO COLLEGE
2013-14,UCSB,SOCIAL SCIENCES,Economics,6,EL CAMINO COLLEGE
2013-14,UCSD,SOCIAL SCIENCES,Economics,14,EL CAMINO COLLEGE
2013-14,UCLA,SOCIAL SCIENCES,Geography and Cartography,3,EL CAMINO COLLEGE
2013-14,UCB,SOCIAL SCIENCES,Political Science and Government,4,EL CAMINO COLLEGE
2013-14,UCLA,SOCIAL SCIENCES,Political Science and Government,8,EL CAMINO COLLEGE
2013-14,UCI,SOCIAL SCIENCES,Sociology,4,EL CAMINO COLLEGE
2013-14,UCLA,SOCIAL SCIENCES,Sociology,7,EL CAMINO COLLEGE
2013-14,UCSD,SOCIAL SCIENCES,Sociology,4,EL CAMINO COLLEGE
2013-14,UCI,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,EL CAMINO COLLEGE
2013-14,UCLA,VISUAL AND PERFORMING ARTS,Fine and Studio Arts,4,EL CAMINO COLLEGE
2014-15,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",4,EL CAMINO COLLEGE
2014-15,UCI,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,EL CAMINO COLLEGE
2014-15,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,3,EL CAMINO COLLEGE
2014-15,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,EL CAMINO COLLEGE
2014-15,UCB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,EL CAMINO COLLEGE
2014-15,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,EL CAMINO COLLEGE
2014-15,UCSD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,EL CAMINO COLLEGE
2014-15,UCI,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,EL CAMINO COLLEGE
2014-15,UCLA,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,EL CAMINO COLLEGE
2014-15,UCSD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,EL CAMINO COLLEGE
2014-15,UCSD,ENGINEERING,Mechanical Engineering,3,EL CAMINO COLLEGE
2014-15,UCB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,EL CAMINO COLLEGE
2014-15,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,EL CAMINO COLLEGE
2014-15,UCSB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,EL CAMINO COLLEGE
2014-15,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",5,EL CAMINO COLLEGE
2014-15,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Romance Languages, Literatures, and Linguistics",3,EL CAMINO COLLEGE
2014-15,UCLA,HISTORY,History,12,EL CAMINO COLLEGE
2014-15,UCLA,MATHEMATICS AND STATISTICS,Applied Mathematics,3,EL CAMINO COLLEGE
2014-15,UCLA,MATHEMATICS AND STATISTICS,Mathematics,4,EL CAMINO COLLEGE
2014-15,UCI,PSYCHOLOGY,"Psychology, General",5,EL CAMINO COLLEGE
2014-15,UCLA,PSYCHOLOGY,"Psychology, General",9,EL CAMINO COLLEGE
2014-15,UCSB,PSYCHOLOGY,"Psychology, General",3,EL CAMINO COLLEGE
2014-15,UCI,PSYCHOLOGY,Research and Experimental Psychology,8,EL CAMINO COLLEGE
2014-15,UCLA,PSYCHOLOGY,Research and Experimental Psychology,4,EL CAMINO COLLEGE
2014-15,UCLA,SOCIAL SCIENCES,Anthropology,10,EL CAMINO COLLEGE
2014-15,UCB,SOCIAL SCIENCES,Economics,5,EL CAMINO COLLEGE
2014-15,UCD,SOCIAL SCIENCES,Economics,3,EL CAMINO COLLEGE
2014-15,UCLA,SOCIAL SCIENCES,Economics,6,EL CAMINO COLLEGE
2014-15,UCR,SOCIAL SCIENCES,Economics,3,EL CAMINO COLLEGE
2014-15,UCSB,SOCIAL SCIENCES,Economics,12,EL CAMINO COLLEGE
2014-15,UCSD,SOCIAL SCIENCES,Economics,14,EL CAMINO COLLEGE
2014-15,UCD,SOCIAL SCIENCES,Political Science and Government,3,EL CAMINO COLLEGE
2014-15,UCSC,SOCIAL SCIENCES,Political Science and Government,3,EL CAMINO COLLEGE
2014-15,UCI,SOCIAL SCIENCES,Sociology,5,EL CAMINO COLLEGE
2014-15,UCLA,SOCIAL SCIENCES,Sociology,15,EL CAMINO COLLEGE
2014-15,UCR,SOCIAL SCIENCES,Sociology,3,EL CAMINO COLLEGE
2014-15,UCSB,SOCIAL SCIENCES,Sociology,4,EL CAMINO COLLEGE
2014-15,UCSC,SOCIAL SCIENCES,Sociology,4,EL CAMINO COLLEGE
2015-16,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",Area Studies,3,EL CAMINO COLLEGE
2015-16,UCLA,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",9,EL CAMINO COLLEGE
2015-16,UCSD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",3,EL CAMINO COLLEGE
2015-16,UCI,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,EL CAMINO COLLEGE
2015-16,UCR,BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,3,EL CAMINO COLLEGE
2015-16,UCR,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",9,EL CAMINO COLLEGE
