cc_name,uc_campus,year,share_eth_african_american,share_eth_american_indian,share_eth_asian,share_eth_domestic_unknown,share_eth_hispanic__latinx,share_eth_int'l,share_eth_pacific_islander,share_eth_white
ALAMEDA,Los Angeles,2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2020,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2022,0.0,0.0,0.625,0.0,0.125,0.0,0.0,0.25
ALAMEDA,Los Angeles,2023,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
ALAMEDA,Los Angeles,2024,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25
ALAMEDA,Merced,2006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALAMEDA,Merced,2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Merced,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALAMEDA,Merced,2024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALAMEDA,Riverside,2006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2010,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
