cc_name,year,cc_perm_resident_count
CERRITOS,2022,126.0
CERRITOS,2023,139.0
CERRITOS,2024,175.0
CERRO COSO,2004,5.0
CERRO COSO,2005,2.0
CERRO COSO,2006,28.0
CERRO COSO,2007,72.0
CERRO COSO,2008,5555.0
CERRO COSO,2009,6009.0
CERRO COSO,2010,6234.0
CERRO COSO,2011,5396.0
CERRO COSO,2012,2.0
CERRO COSO,2013,6.0
CERRO COSO,2014,9.0
CERRO COSO,2015,9.0
CERRO COSO,2016,14.0
CERRO COSO,2017,19.0
CERRO COSO,2018,134.0
CERRO COSO,2019,148.0
CERRO COSO,2020,122.0
CERRO COSO,2021,117.0
CERRO COSO,2022,108.0
CERRO COSO,2023,98.0
CERRO COSO,2024,109.0
CHABOT,2004,32.0
CHABOT,2005,8.0
CHABOT,2006,9.0
CHABOT,2007,18.0
CHABOT,2008,12918.0
CHABOT,2009,13455.0
CHABOT,2010,13116.0
CHABOT,2011,12006.0
CHABOT,2012,49.0
CHABOT,2013,76.0
CHABOT,2014,73.0
CHABOT,2015,104.0
CHABOT,2016,119.0
CHABOT,2017,117.0
CHABOT,2018,1281.0
CHABOT,2019,1276.0
CHABOT,2020,1072.0
CHABOT,2021,937.0
CHABOT,2022,817.0
CHABOT,2023,823.0
CHABOT,2024,831.0
CHAFFEY,2004,3.0
CHAFFEY,2005,3.0
CHAFFEY,2006,5.0
CHAFFEY,2007,5.0
CHAFFEY,2008,18762.0
CHAFFEY,2009,19900.0
CHAFFEY,2010,18228.0
CHAFFEY,2011,17822.0
CHAFFEY,2012,16753.0
CHAFFEY,2013,18233.0
CHAFFEY,2014,18457.0
CHAFFEY,2015,19867.0
CHAFFEY,2016,20777.0
CHAFFEY,2017,21195.0
CHAFFEY,2018,1120.0
CHAFFEY,2019,1099.0
CHAFFEY,2020,900.0
CHAFFEY,2021,794.0
CHAFFEY,2022,772.0
CHAFFEY,2023,673.0
CHAFFEY,2024,704.0
CITRUS,2004,109.0
CITRUS,2005,47.0
CITRUS,2006,34.0
CITRUS,2007,644.0
CITRUS,2008,14345.0
CITRUS,2009,13127.0
CITRUS,2010,12796.0
CITRUS,2011,11610.0
CITRUS,2012,10907.0
CITRUS,2013,12041.0
CITRUS,2014,11838.0
CITRUS,2015,12001.0
CITRUS,2016,11802.0
CITRUS,2017,12148.0
CITRUS,2018,53.0
CITRUS,2019,40.0
CITRUS,2020,30.0
CITRUS,2021,31.0
CITRUS,2022,304.0
CITRUS,2023,327.0
CITRUS,2024,284.0
CITY OF SAN FRANCISCO,2004,39.0
CITY OF SAN FRANCISCO,2005,41.0
CITY OF SAN FRANCISCO,2006,38.0
CITY OF SAN FRANCISCO,2007,47.0
CITY OF SAN FRANCISCO,2008,278.0
CITY OF SAN FRANCISCO,2009,270.0
CITY OF SAN FRANCISCO,2010,280.0
CITY OF SAN FRANCISCO,2011,282.0
CITY OF SAN FRANCISCO,2012,290.0
CITY OF SAN FRANCISCO,2013,251.0
CITY OF SAN FRANCISCO,2014,235.0
CITY OF SAN FRANCISCO,2015,198.0
CITY OF SAN FRANCISCO,2016,213.0
CITY OF SAN FRANCISCO,2017,248.0
CITY OF SAN FRANCISCO,2018,65.0
CITY OF SAN FRANCISCO,2019,48.0
CITY OF SAN FRANCISCO,2020,37.0
CITY OF SAN FRANCISCO,2021,26.0
CITY OF SAN FRANCISCO,2022,2451.0
CITY OF SAN FRANCISCO,2023,2524.0
CITY OF SAN FRANCISCO,2024,2393.0
CLOVIS,2006,1.0
CLOVIS,2007,1.0
CLOVIS,2008,2781.0
CLOVIS,2009,2702.0
CLOVIS,2010,2629.0
CLOVIS,2011,2497.0
CLOVIS,2012,2678.0
CLOVIS,2013,3122.0
CLOVIS,2014,2693.0
CLOVIS,2015,2706.0
CLOVIS,2016,3671.0
CLOVIS,2017,3691.0
CLOVIS,2018,1.0
CLOVIS,2022,24.0
CLOVIS,2023,31.0
CLOVIS,2024,31.0
COASTLINE,2004,3.0
COASTLINE,2005,3.0
COASTLINE,2006,2.0
COASTLINE,2007,3.0
COASTLINE,2008,4176.0
COASTLINE,2009,4492.0
COASTLINE,2010,3847.0
COASTLINE,2011,3288.0
COASTLINE,2012,10.0
COASTLINE,2013,14.0
COASTLINE,2014,17.0
COASTLINE,2015,15.0
COASTLINE,2016,23.0
COASTLINE,2017,34.0
COASTLINE,2018,26.0
COASTLINE,2019,36.0
COASTLINE,2020,29.0
COASTLINE,2021,24.0
COASTLINE,2022,392.0
COASTLINE,2023,465.0
COASTLINE,2024,512.0
COLUMBIA,2004,55.0
COLUMBIA,2005,25.0
COLUMBIA,2006,81.0
COLUMBIA,2007,79.0
COLUMBIA,2008,4537.0
COLUMBIA,2009,6265.0
COLUMBIA,2010,8206.0
COLUMBIA,2011,7594.0
COLUMBIA,2012,7561.0
COLUMBIA,2013,7787.0
COLUMBIA,2014,7728.0
COLUMBIA,2015,7461.0
