cc_name,uc_campus,year,total_major_enrolls
BERKELEY CITY,Davis,2023,24
BERKELEY CITY,Davis,2024,18
BERKELEY CITY,Irvine,2020,3
BERKELEY CITY,Los Angeles,2013,3
BERKELEY CITY,Los Angeles,2017,3
BERKELEY CITY,Los Angeles,2018,7
BERKELEY CITY,Los Angeles,2019,12
BERKELEY CITY,Los Angeles,2020,3
BERKELEY CITY,Los Angeles,2021,21
BERKELEY CITY,Los Angeles,2022,4
BERKELEY CITY,Los Angeles,2023,3
BERKELEY CITY,Los Angeles,2024,4
BERKELEY CITY,San Diego,2016,8
BERKELEY CITY,San Diego,2017,12
BERKELEY CITY,San Diego,2018,7
BERKELEY CITY,San Diego,2019,12
BERKELEY CITY,San Diego,2020,12
BERKELEY CITY,San Diego,2021,25
BERKELEY CITY,San Diego,2022,10
BERKELEY CITY,San Diego,2023,14
BERKELEY CITY,San Diego,2024,6
BERKELEY CITY,Santa Barbara,2013,3
BERKELEY CITY,Santa Barbara,2015,4
BERKELEY CITY,Santa Barbara,2017,3
BERKELEY CITY,Santa Barbara,2020,3
BERKELEY CITY,Santa Barbara,2021,6
BERKELEY CITY,Santa Barbara,2022,4
BERKELEY CITY,Santa Barbara,2023,9
BERKELEY CITY,Santa Cruz,2013,3
BERKELEY CITY,Santa Cruz,2017,5
BERKELEY CITY,Santa Cruz,2018,9
BERKELEY CITY,Santa Cruz,2019,26
BERKELEY CITY,Santa Cruz,2020,14
BERKELEY CITY,Santa Cruz,2021,24
BERKELEY CITY,Santa Cruz,2022,11
BERKELEY CITY,Santa Cruz,2023,12
BERKELEY CITY,Santa Cruz,2024,3
BUTTE,Berkeley,2020,3
BUTTE,Davis,2013,4
BUTTE,Davis,2014,3
BUTTE,Davis,2015,16
BUTTE,Davis,2016,3
BUTTE,Davis,2018,3
BUTTE,Davis,2019,3
BUTTE,Davis,2020,12
BUTTE,Davis,2023,9
BUTTE,Davis,2024,5
BUTTE,Santa Cruz,2019,3
CABRILLO,Berkeley,2014,8
CABRILLO,Berkeley,2015,14
CABRILLO,Berkeley,2016,8
CABRILLO,Berkeley,2017,4
CABRILLO,Berkeley,2018,13
CABRILLO,Berkeley,2019,20
CABRILLO,Berkeley,2020,7
CABRILLO,Berkeley,2021,7
CABRILLO,Berkeley,2022,9
CABRILLO,Berkeley,2023,13
CABRILLO,Berkeley,2024,4
CABRILLO,Davis,2013,6
CABRILLO,Davis,2014,11
CABRILLO,Davis,2015,10
CABRILLO,Davis,2016,14
CABRILLO,Davis,2017,12
CABRILLO,Davis,2018,7
CABRILLO,Davis,2019,12
CABRILLO,Davis,2020,12
CABRILLO,Davis,2022,6
CABRILLO,Davis,2024,3
CABRILLO,Irvine,2021,3
CABRILLO,Los Angeles,2014,3
CABRILLO,Los Angeles,2015,7
CABRILLO,Los Angeles,2019,6
CABRILLO,Los Angeles,2020,9
CABRILLO,Los Angeles,2022,7
CABRILLO,Los Angeles,2023,4
CABRILLO,Los Angeles,2024,11
CABRILLO,San Diego,2018,3
CABRILLO,San Diego,2024,3
CABRILLO,Santa Barbara,2015,6
CABRILLO,Santa Barbara,2016,7
CABRILLO,Santa Barbara,2017,3
CABRILLO,Santa Barbara,2018,17
CABRILLO,Santa Barbara,2019,12
CABRILLO,Santa Barbara,2020,12
CABRILLO,Santa Barbara,2022,12
CABRILLO,Santa Barbara,2023,4
CABRILLO,Santa Barbara,2024,6
CABRILLO,Santa Cruz,2013,97
CABRILLO,Santa Cruz,2014,95
CABRILLO,Santa Cruz,2015,81
CABRILLO,Santa Cruz,2016,60
CABRILLO,Santa Cruz,2017,119
CABRILLO,Santa Cruz,2018,103
CABRILLO,Santa Cruz,2019,141
CABRILLO,Santa Cruz,2020,146
CABRILLO,Santa Cruz,2021,116
CABRILLO,Santa Cruz,2022,99
CABRILLO,Santa Cruz,2023,108
CABRILLO,Santa Cruz,2024,89
CANADA,Berkeley,2015,4
CANADA,Berkeley,2016,3
CANADA,Berkeley,2017,6
CANADA,Berkeley,2018,19
CANADA,Berkeley,2019,3
CANADA,Davis,2015,4
CANADA,Davis,2017,3
CANADA,Davis,2018,6
CANADA,Davis,2021,8
CANADA,Davis,2022,7
CANADA,Davis,2023,4
CANADA,Davis,2024,7
CANADA,Los Angeles,2017,3
CANADA,San Diego,2017,3
CANADA,San Diego,2019,3
CANADA,San Diego,2023,3
CANADA,Santa Barbara,2015,3
CANADA,Santa Barbara,2019,3
CANADA,Santa Barbara,2021,3
CANADA,Santa Barbara,2023,3
CANADA,Santa Cruz,2016,3
CANADA,Santa Cruz,2019,4
CANADA,Santa Cruz,2020,3
CANADA,Santa Cruz,2021,3
CANADA,Santa Cruz,2022,15
CANADA,Santa Cruz,2023,3
CANYONS,Berkeley,2014,3
CANYONS,Berkeley,2015,3
CANYONS,Berkeley,2016,3
CANYONS,Berkeley,2017,8
CANYONS,Berkeley,2018,6
CANYONS,Berkeley,2019,12
CANYONS,Berkeley,2021,10
CANYONS,Berkeley,2023,15
CANYONS,Berkeley,2024,9
CANYONS,Davis,2013,4
CANYONS,Davis,2014,6
CANYONS,Davis,2016,3
CANYONS,Davis,2017,6
