,learning_rate,num_leaves,max_depth,subsample,colsample_bytree,lambda_l2,stopping_rounds,n_estimators,best_iteration,split,train_mse,train_rmse,train_mae,train_r2,valid_mse,valid_rmse,valid_mae,valid_r2,rmse_gap_train_valid
89,0.04,120,7,0.8,0.8,1,200,3000,1503,valid,0.003279616146781113,0.05726793297108874,0.03785697576139574,0.9281907367444453,0.02153329089768028,0.14674226009463082,0.11064519061120925,0.4995802557329263,-0.08947432712354209
77,0.04,90,7,0.8,0.8,1,200,3000,1503,valid,0.003279616146781113,0.05726793297108874,0.03785697576139574,0.9281907367444453,0.02153329089768028,0.14674226009463082,0.11064519061120925,0.4995802557329263,-0.08947432712354209
131,0.06,90,7,0.8,0.8,10,200,3000,1188,valid,0.0030860133631142924,0.055551897925402084,0.036257459261853836,0.9324297917548873,0.021555857414177083,0.1468191316354142,0.11036923629264576,0.4990558244944321,-0.09126723371001214
35,0.02,90,7,0.8,0.8,10,200,3000,2984,valid,0.003967843633396931,0.06299082181871364,0.04219237612314763,0.9131215620135519,0.021556141257562025,0.1468200982752771,0.11034678196591839,0.49904922815786745,-0.08382927645656345
122,0.06,90,7,0.8,0.8,0,200,3000,1192,valid,0.00263594119679002,0.0513414179468197,0.03308173651677105,0.9422844055966011,0.02155988496327855,0.14683284701754765,0.11000429739176944,0.49896222685991554,-0.09549142907072794
134,0.06,120,7,0.8,0.8,0,200,3000,1192,valid,0.00263594119679002,0.0513414179468197,0.03308173651677105,0.9422844055966011,0.02155988496327855,0.14683284701754765,0.11000429739176944,0.49896222685991554,-0.09549142907072794
107,0.06,40,7,0.8,0.8,10,200,3000,1389,valid,0.0029602012822924294,0.05440773182455256,0.035528590827765216,0.9351845265860759,0.021569806896959115,0.14686662962347544,0.1103826938119143,0.49873164754258514,-0.09245889779892288
51,0.04,40,-1,0.8,0.8,1,200,3000,889,valid,0.003865623754248038,0.0621741405589819,0.04222623856344734,0.9153597307147757,0.02157627871616352,0.14688866095163208,0.11040118193618428,0.4985812466527908,-0.08471452039265018
95,0.04,120,7,0.8,0.8,10,200,3000,1641,valid,0.0034834703434115204,0.05902093140074562,0.03902515308371644,0.9237272205838879,0.021617262494505386,0.14702810103686093,0.11010199512425768,0.4976288101685401,-0.0880071696361153
113,0.06,60,7,0.8,0.8,1,200,3000,1272,valid,0.0025678435453806406,0.050673894120943974,0.03250160242649658,0.9437754466081966,0.021626478233020396,0.1470594377556925,0.11073129276391887,0.4974146423698127,-0.09638554363474852
