year,college,math_retention_rate,math_success_rate,english_retention_rate,english_success_rate,eops_headcount,eops_care_headcount,aid_ftft_pell_grant_rate,aid_ftft_federal_loan_rate,aid_pell_grant_rate,aid_federal_loan_rate,aid_loan_principal,aid_median_debt_first_generation_students,aid_median_debt_non_first_generation_students,student_demographics_student_faculty_ratio,cost_avg_net_price_public,cost_net_price_public_by_income_level_0_30000,cost_net_price_public_by_income_level_30001_48000,cost_net_price_public_by_income_level_48001_75000,cost_net_price_public_by_income_level_75001_110000,cost_title_iv_public_by_income_level_0_30000,cost_title_iv_public_by_income_level_30001_48000,cost_title_iv_public_by_income_level_48001_75000,cost_attendance_academic_year,cost_tuition_in_state,cost_tuition_out_of_state,cost_booksupply,cost_roomboard_offcampus,cost_otherexpense_offcampus,cost_otherexpense_withfamily,completion_title_iv_transf_completed_4yr_by_4yrs,aid_median_debt_income_0_30000,percent_stem,percent_social_science
2015,American River,0.7536817788045047,0.5843199537972856,0.8658620216705527,0.755177616239199,448.0,22.0,0.2801,0.0221,0.1996,0.0215,5500.0,5500.0,5291.0,33.0,2417.0,1491.0,2720.0,4771.0,6713.0,296.0,107.0,68.0,8426.0,1388.0,7050.0,1764.0,11970.0,4167.0,4284.0,0.08976378,5500.0,0.05869999999999999,0.309
2017,American River,0.8536299765807962,0.5619145199063232,0.9129062795834648,0.7145787314610287,1018.0,37.0,0.3645,0.0139,0.1614,0.0088,3500.0,3500.0,3500.0,26.0,3066.0,2374.0,3004.0,5774.0,7554.0,389.0,155.0,83.0,9909.0,1338.0,7386.0,1854.0,13293.0,4239.0,4374.0,0.055093555094,3500.0,0.046000000000000006,0.35
2019,American River,0.8407194994786236,0.6032325338894682,0.8607905720599067,0.6555364596120795,866.0,40.0,0.5283,0.0,0.2886,0.0,3500.0,7083.050980392158,6950.635294117647,26.0,7391.0,7390.0,8315.0,9433.5,11891.5,513.0,1.0,0.0,14752.0,1238.0,5500.0,2080.0,7350.0,5400.0,8120.0,0.054171609332,7349.96875,0.074,0.20750000000000002
2022,American River,0.8507972665148064,0.6166612430849333,0.8831615120274914,0.6666666666666666,736.0,8.0,0.2124,0.0455,0.1708,0.042,,,,37.0,11174.0,9780.0,10388.0,12867.0,15906.0,188.0,91.0,78.0,18592.0,1234.0,9322.0,1152.0,17784.0,4860.0,4374.0,,,0.0538,0.2628
2013,American River,0.891350531107739,0.6528072837632777,0.9021599763290266,0.7335042903639413,1661.0,87.0,0.5125,0.0159,0.2734,0.0184,3500.0,3500.0,3500.0,27.0,4463.0,4463.0,4987.0,6932.0,7795.0,613.0,0.0,0.0,10665.0,1334.0,5366.0,1710.0,11268.0,4167.0,4275.0,0.055718475,3500.0,0.07219999999999999,0.3554
2015,Bakersfield,0.8918404929092661,0.7950915599614484,0.8672697468277578,0.7148665330985773,257.0,83.0,0.7791,0.0,0.5019,0.0,3463.0,5070.262152777778,5065.576388888889,29.0,7425.0,7585.0,6911.0,6391.0,10681.0,202.0,29.0,17.0,14776.0,1104.0,5400.0,1840.0,11200.0,3850.0,3850.0,0.036585366,3347.0,0.0034,0.42750000000000005
2016,Bakersfield,0.8712958092232158,0.6058214974574785,0.9020852221214868,0.7199682683590208,929.0,77.0,0.5381,0.0,0.3276,0.0,3004.5,2113.5,3500.0,25.0,8789.0,8177.0,8732.0,11084.0,12068.0,487.0,158.0,108.0,15215.0,1169.0,6521.0,1792.0,12492.0,4158.0,4284.0,0.043828016644,2625.0,0.0932,0.15500000000000003
2021,Bakersfield,0.6988446726572529,0.5047496790757381,0.8101288800145217,0.6438555091668179,660.0,19.0,0.4249,0.0116,0.2532,0.0222,,,,27.0,5137.0,4182.0,5613.0,7289.0,9665.0,284.0,94.0,78.0,12112.0,1288.0,10168.0,1124.0,17254.0,4842.0,4274.0,,,0.1253,0.3258
2022,Bakersfield,0.8444914258867747,0.6636128729151985,0.8125744934445769,0.6263408820023838,271.0,9.0,0.4425,0.0,0.259,0.004,,,,25.0,15741.0,14206.0,15480.0,18857.0,19853.0,132.0,51.0,50.0,23471.0,1366.0,8286.0,2727.0,18126.0,5355.0,4788.0,,,0.0733,0.3666
2023,Bakersfield,0.8450920245398773,0.6595092024539877,0.8500974658869396,0.6639376218323587,518.0,28.0,0.5645,0.0028,0.2747,0.0025,,,,22.0,2895.0,1360.0,1477.0,5267.0,8346.0,226.0,175.0,166.0,12050.0,1404.0,8994.0,938.0,19431.0,4428.0,3609.0,,,0.0774,0.20020000000000002
